2026-07-03 10:34:09.785 | INFO     | app.services.auth_service:register_user:27 - Registered new user: asha@example.com (role=UserRole.CITIZEN)
2026-07-03 10:34:10.039 | INFO     | app.services.auth_service:register_user:27 - Registered new user: asha@example.com (role=UserRole.CITIZEN)
2026-07-03 10:34:10.043 | WARNING  | app.main:domain_validation_exception_handler:68 - ValidationError on POST /api/v1/auth/register: An account with this email already exists.
2026-07-03 10:34:10.286 | INFO     | app.services.auth_service:register_user:27 - Registered new user: asha@example.com (role=UserRole.CITIZEN)
2026-07-03 10:34:10.485 | INFO     | app.services.auth_service:authenticate_user:38 - User logged in: asha@example.com
2026-07-03 10:34:10.697 | INFO     | app.services.auth_service:register_user:27 - Registered new user: asha@example.com (role=UserRole.CITIZEN)
2026-07-03 10:34:10.900 | WARNING  | app.services.auth_service:authenticate_user:35 - Failed login attempt for email: asha@example.com
2026-07-03 10:34:10.901 | WARNING  | app.main:domain_validation_exception_handler:68 - ValidationError on POST /api/v1/auth/login: Invalid email or password.
2026-07-03 10:34:11.127 | INFO     | app.services.auth_service:register_user:27 - Registered new user: citizen@example.com (role=UserRole.CITIZEN)
2026-07-03 10:34:11.354 | INFO     | app.services.auth_service:register_user:27 - Registered new user: citizen@example.com (role=UserRole.CITIZEN)
2026-07-03 10:34:11.595 | INFO     | app.services.auth_service:register_user:27 - Registered new user: admin@example.com (role=UserRole.MUNICIPALITY_ADMIN)
2026-07-03 10:34:11.602 | INFO     | app.services.alert_service:generate_alerts_for_active_hotspots:60 - Generated 0 municipality alert(s) from 0 high-risk hotspots.
2026-07-03 10:34:11.823 | INFO     | app.services.auth_service:register_user:27 - Registered new user: citizen@example.com (role=UserRole.CITIZEN)
2026-07-03 10:34:12.060 | INFO     | app.services.auth_service:register_user:27 - Registered new user: citizen@example.com (role=UserRole.CITIZEN)
2026-07-03 10:34:12.264 | INFO     | app.services.auth_service:register_user:27 - Registered new user: admin@example.com (role=UserRole.MUNICIPALITY_ADMIN)
2026-07-03 10:34:12.271 | INFO     | app.services.upload_service:save_uploaded_image:34 - Saved uploaded image to app\uploads\original\20260703050412_22a121dc3a.jpg (690 bytes)
2026-07-03 10:34:12.272 | WARNING  | app.ai.yolo_detector:_load_model:24 - YOLOv8 weights not found at 'ml\pollution_yolov8.pt'. Running pollution detector in MOCK MODE - see app/ai/yolo_detector.py.
2026-07-03 10:34:12.275 | DEBUG    | app.ai.image_preprocessing:save_image:70 - Saved processed image to app\uploads\processed\20260703050412_22a121dc3a.jpg
2026-07-03 10:34:12.281 | INFO     | app.services.report_service:create_report_with_detection:71 - Created report #1 by user 1: garbage_burning (0.79 confidence, mock=True)
2026-07-03 10:34:12.289 | INFO     | app.services.upload_service:save_uploaded_image:34 - Saved uploaded image to app\uploads\original\20260703050412_8e7b454bc7.jpg (690 bytes)
2026-07-03 10:34:12.292 | DEBUG    | app.ai.image_preprocessing:save_image:70 - Saved processed image to app\uploads\processed\20260703050412_8e7b454bc7.jpg
2026-07-03 10:34:12.295 | INFO     | app.services.report_service:create_report_with_detection:71 - Created report #2 by user 1: construction_dust (0.69 confidence, mock=True)
2026-07-03 10:34:12.301 | INFO     | app.services.upload_service:save_uploaded_image:34 - Saved uploaded image to app\uploads\original\20260703050412_62f0140556.jpg (690 bytes)
2026-07-03 10:34:12.303 | DEBUG    | app.ai.image_preprocessing:save_image:70 - Saved processed image to app\uploads\processed\20260703050412_62f0140556.jpg
2026-07-03 10:34:12.305 | INFO     | app.services.report_service:create_report_with_detection:71 - Created report #3 by user 1: construction_dust (0.57 confidence, mock=True)
2026-07-03 10:34:12.312 | INFO     | app.services.upload_service:save_uploaded_image:34 - Saved uploaded image to app\uploads\original\20260703050412_d97af334b8.jpg (690 bytes)
2026-07-03 10:34:12.315 | DEBUG    | app.ai.image_preprocessing:save_image:70 - Saved processed image to app\uploads\processed\20260703050412_d97af334b8.jpg
2026-07-03 10:34:12.316 | INFO     | app.services.report_service:create_report_with_detection:71 - Created report #4 by user 1: dust (0.57 confidence, mock=True)
2026-07-03 10:34:12.325 | INFO     | app.ai.hotspot_detector:detect_hotspots:103 - DBSCAN found 1 hotspot(s) from 4 reports.
2026-07-03 10:34:12.330 | INFO     | app.services.hotspot_service:generate_hotspots:72 - Generated 1 hotspot(s) from 4 reports in last 14d.
2026-07-03 10:34:12.548 | INFO     | app.services.auth_service:register_user:27 - Registered new user: citizen@example.com (role=UserRole.CITIZEN)
